0,31.4995887078,3149.95887078
1,-2.67037029225,-267.037029225
2,-4.62498540872,-462.498540872
3,-6.67246680381,-667.246680381
4,-8.55987112222,-855.987112222
5,-9.51682263853,-951.682263853
6,-10.7317886924,-1073.17886924
7,-11.419057019,-1141.9057019
8,-12.6548333178,-1265.48333178
9,-13.2677959128,-1326.77959128
10,-13.8192234685,-1381.92234685
11,-14.4781007391,-1447.81007391
12,-14.9390478126,-1493.90478126
13,-15.6303875774,-1563.03875774
14,-16.0735991074,-1607.35991074
15,-17.0396338442,-1703.96338442
16,-17.5608535206,-1756.08535206
17,-17.6847131428,-1768.47131428
18,-18.0233368543,-1802.33368543
19,-18.6475709367,-1864.75709367
20,-18.8852293695,-1888.52293695
21,-19.2029076985,-1920.29076985
22,-19.3888228377,-1938.88228377
23,-19.8001006333,-1980.01006333
24,-20.0739015213,-2007.39015213
25,-20.3115638033,-2031.15638033
26,-20.5229588927,-2052.29588927
27,-20.7049882111,-2070.49882111
28,-21.0000583809,-2100.00583809
29,-21.295510167,-2129.5510167
30,-21.7000644022,-2170.00644022
31,-21.9220370519,-2192.20370519
32,-22.414486248,-2241.4486248
33,-22.5079423351,-2250.79423351
34,-22.7894193472,-2278.94193472
35,-22.9102950689,-2291.02950689
36,-23.0747813407,-2307.47813407
37,-23.3328241192,-2333.28241192
38,-23.4085725273,-2340.85725273
39,-23.6340498652,-2363.40498652
40,-23.9084284237,-2390.84284237
41,-24.0776128774,-2407.76128774
42,-24.1103469493,-2411.03469493
43,-24.2040138179,-2420.40138179
44,-24.2777836962,-2427.77836962
45,-24.4468608657,-2444.68608657
46,-24.6562348974,-2465.62348974
47,-24.8269641629,-2482.69641629
48,-24.8920927608,-2489.20927608
49,-24.9167784823,-2491.67784823
50,-24.9590612121,-2495.90612121
51,-25.0320510747,-2503.20510747
52,-25.1065607392,-2510.65607392
53,-25.2317302385,-2523.17302385
54,-25.3769176431,-2537.69176431
55,-25.4391698764,-2543.91698764
56,-25.489318455,-2548.9318455
57,-25.6654965862,-2566.54965862
58,-25.7854711189,-2578.54711189
59,-25.9021402434,-2590.21402434
60,-26.0277038177,-2602.77038177
61,-26.0710731379,-2607.10731379
62,-26.1103884364,-2611.03884364
63,-26.1870135203,-2618.70135203
64,-26.2628415213,-2626.28415213
65,-26.2837964392,-2628.37964392
66,-26.3421101418,-2634.21101418
67,-26.3690431733,-2636.90431733
68,-26.4620153063,-2646.20153063
69,-26.4995176453,-2649.95176453
70,-26.5041701449,-2650.41701449
71,-26.5690134791,-2656.90134791
72,-26.6078093458,-2660.78093458
73,-26.6611434906,-2666.11434906
74,-26.812606008,-2681.2606008
75,-26.8370126396,-2683.70126396
76,-26.8562907143,-2685.62907143
77,-26.8636175833,-2686.36175833
78,-26.9145060706,-2691.45060706
79,-26.988555805,-2698.8555805
80,-26.9976146171,-2699.76146171
81,-27.0904448992,-2709.04448992
82,-27.1445012973,-2714.45012973
83,-27.1689877283,-2716.89877283
84,-27.213297034,-2721.3297034
85,-27.2583714848,-2725.83714848
86,-27.3249038668,-2732.49038668
87,-27.3410279419,-2734.10279419
88,-27.358264971,-2735.8264971
89,-27.5118657905,-2751.18657905
90,-27.5372296671,-2753.72296671
91,-27.5410523119,-2754.10523119
92,-27.6105983098,-2761.05983098
93,-27.6547502033,-2765.47502033
94,-27.7065036927,-2770.65036927
95,-27.7186439417,-2771.86439417
96,-27.7698413064,-2776.98413064
97,-27.8468466689,-2784.68466689
98,-27.8644610767,-2786.44610767
99,-27.8938165404,-2789.38165404
100,-27.9138197873,-2791.38197873
101,-27.9264663985,-2792.64663985
102,-27.9296574011,-2792.96574011
103,-27.9556533096,-2795.56533096
104,-28.0052968186,-2800.52968186
105,-28.0153429522,-2801.53429522
106,-28.0660156514,-2806.60156514
107,-28.0954008904,-2809.54008904
108,-28.0954008904,-2809.54008904
109,-28.0994646071,-2809.94646071
110,-28.1030425441,-2810.30425441
111,-28.1406388064,-2814.06388064
112,-28.1457390626,-2814.57390626
113,-28.1520280743,-2815.20280743
114,-28.1667158093,-2816.67158093
115,-28.1727734534,-2817.27734534
116,-28.2006369168,-2820.06369168
117,-28.2389857621,-2823.89857621
118,-28.2760643803,-2827.60643803
119,-28.2903256514,-2829.03256514
120,-28.2970738574,-2829.70738574
121,-28.3474538514,-2834.74538514
122,-28.3765988461,-2837.65988461
123,-28.4115093901,-2841.15093901
124,-28.4307686604,-2843.07686604
125,-28.4985024788,-2849.85024788
126,-28.5236820586,-2852.36820586
127,-28.5315511629,-2853.15511629
128,-28.5506631245,-2855.06631245
129,-28.5737309348,-2857.37309348
130,-28.5769403854,-2857.69403854
131,-28.6457596598,-2864.57596598
132,-28.6700005806,-2867.00005806
133,-28.6963134551,-2869.63134551
134,-28.6984740548,-2869.84740548
135,-28.7261838905,-2872.61838905
136,-28.7415701454,-2874.15701454
137,-28.7570965314,-2875.70965314
138,-28.8507813338,-2885.07813338
139,-28.8638271539,-2886.38271539
140,-28.9019080673,-2890.19080673
141,-28.924201717,-2892.4201717
142,-28.9710133525,-2897.10133525
143,-28.9757161197,-2897.57161197
144,-29.0012377362,-2900.12377362
145,-29.0631274404,-2906.31274404
146,-29.096662002,-2909.6662002
147,-29.1087727213,-2910.87727213
148,-29.116034609,-2911.6034609
149,-29.1528239688,-2915.28239688
150,-29.1705269212,-2917.05269212
151,-29.1983571467,-2919.83571467
152,-29.2107565109,-2921.07565109
153,-29.2386476064,-2923.86476064
154,-29.2986176422,-2929.86176422
155,-29.3275034968,-2932.75034968
