0,31.4995887078,3149.95887078
1,27.6198760629,2761.98760629
2,23.958589054,2395.8589054
3,20.0889913135,2008.89913135
4,18.0508277872,1805.08277872
5,15.9844447072,1598.44447072
6,13.1622490662,1316.22490662
7,10.5646072144,1056.46072144
8,8.62387302036,862.387302036
9,7.09386953509,709.386953509
10,5.62597596171,562.597596171
11,4.76124553325,476.124553325
12,3.61650632128,361.650632128
13,2.55450888706,255.450888706
14,1.36648669816,136.648669816
15,-0.0631169400172,-6.31169400172
16,-1.46887409043,-146.887409043
17,-2.36432366307,-236.432366307
18,-3.32860228788,-332.860228788
19,-3.93655914313,-393.655914313
20,-4.48394754012,-448.394754012
21,-4.93175364792,-493.175364792
22,-6.34975274674,-634.975274674
23,-7.02973066063,-702.973066063
24,-7.71679593298,-771.679593298
25,-7.99826401476,-799.826401476
26,-8.83245940734,-883.245940734
27,-9.37210160615,-937.210160615
28,-9.42726637989,-942.726637989
29,-9.61424365057,-961.424365057
30,-9.92074054428,-992.074054428
31,-10.4674159498,-1046.74159498
32,-10.8561674111,-1085.61674111
33,-11.1025634604,-1110.25634604
34,-11.5445379705,-1154.45379705
35,-11.3894203169,-1138.94203169
36,-11.6837164749,-1168.37164749
37,-12.3044886766,-1230.44886766
38,-12.5492285107,-1254.92285107
39,-13.133179704,-1313.3179704
40,-13.4116743575,-1341.16743575
41,-13.546259473,-1354.6259473
42,-13.827092645,-1382.7092645
43,-14.4018323702,-1440.18323702
44,-14.5247088155,-1452.47088155
45,-14.7089223239,-1470.89223239
46,-14.7812835867,-1478.12835867
47,-14.8820192217,-1488.20192217
48,-15.1603423561,-1516.03423561
49,-15.5600565178,-1556.00565178
50,-15.790129761,-1579.0129761
51,-16.2875044084,-1628.75044084
52,-16.617017512,-1661.7017512
53,-16.6117817391,-1661.17817391
54,-16.6168822948,-1661.68822948
55,-16.9923962551,-1699.23962551
56,-17.1572740639,-1715.72740639
57,-17.1291633494,-1712.91633494
58,-17.2555407826,-1725.55407826
59,-17.5466769195,-1754.66769195
60,-17.4643829752,-1746.43829752
61,-17.7609075025,-1776.09075025
62,-17.7731051189,-1777.31051189
63,-17.8244988748,-1782.44988748
64,-18.2955099728,-1829.55099728
65,-18.4230157933,-1842.30157933
66,-18.6290943872,-1862.90943872
67,-19.0623143129,-1906.23143129
68,-19.2233092583,-1922.33092583
69,-19.1813048595,-1918.13048595
70,-19.5542987415,-1955.42987415
71,-19.7081914672,-1970.81914672
72,-19.7727682147,-1977.27682147
73,-19.6692947199,-1966.92947199
74,-19.9059612232,-1990.59612232
75,-19.8941076558,-1989.41076558
76,-19.9667358375,-1996.67358375
77,-19.8604104533,-1986.04104533
78,-19.9554596624,-1995.54596624
79,-20.0628425864,-2006.28425864
80,-20.2470139107,-2024.70139107
81,-20.2722286486,-2027.22286486
82,-20.5073935679,-2050.73935679
83,-20.5467917303,-2054.67917303
84,-20.431876029,-2043.1876029
85,-20.3727170937,-2037.27170937
86,-20.6369618284,-2063.69618284
87,-20.5851037161,-2058.51037161
88,-20.6089889673,-2060.89889673
89,-20.6947776728,-2069.47776728
90,-20.6524498918,-2065.24498918
91,-20.7104760754,-2071.04760754
92,-20.659799698,-2065.9799698
93,-20.6076051727,-2060.76051727
94,-20.5364393113,-2053.64393113
95,-20.5029347568,-2050.29347568
96,-20.6477790456,-2064.77790456
97,-20.7633247368,-2076.33247368
98,-20.871629373,-2087.1629373
99,-20.8027956859,-2080.27956859
100,-20.7553845593,-2075.53845593
101,-21.009578447,-2100.9578447
102,-21.1227462133,-2112.27462133
103,-21.2354219546,-2123.54219546
104,-21.301701798,-2130.1701798
105,-21.2146999418,-2121.46999418
106,-21.3027424351,-2130.27424351
107,-21.3126136555,-2131.26136555
108,-21.353145231,-2135.3145231
109,-21.4693689389,-2146.93689389
110,-21.427896844,-2142.7896844
111,-21.496620196,-2149.6620196
112,-21.460271568,-2146.0271568
113,-21.4606223795,-2146.06223795
114,-21.6061391932,-2160.61391932
115,-21.618629939,-2161.8629939
116,-21.7124261369,-2171.24261369
117,-21.8819568776,-2188.19568776
118,-21.7657934215,-2176.57934215
119,-21.6845208134,-2168.45208134
120,-21.6936689551,-2169.36689551
121,-21.6520003474,-2165.20003474
122,-21.7951464874,-2179.51464874
123,-22.0577624685,-2205.77624685
124,-22.1543497382,-2215.43497382
125,-22.2194631638,-2221.94631638
126,-22.2344841163,-2223.44841163
127,-22.21159549,-2221.159549
128,-22.2462253833,-2224.62253833
129,-22.4413014257,-2244.13014257
130,-22.5234595956,-2252.34595956
131,-22.6525987646,-2265.25987646
132,-22.6820703141,-2268.20703141
133,-22.7852970782,-2278.52970782
134,-22.6570372024,-2265.70372024
135,-22.6751502576,-2267.51502576
136,-22.8883301456,-2288.83301456
137,-22.7874314845,-2278.74314845
138,-22.8468296932,-2284.68296932
139,-23.0240417939,-2302.40417939
140,-22.865846513,-2286.5846513
141,-22.9942549146,-2299.42549146
142,-23.0105461124,-2301.05461124
143,-22.9929190864,-2299.29190864
144,-22.835845947,-2283.5845947
145,-22.8324299713,-2283.24299713
146,-22.7745584117,-2277.45584117
147,-23.0453069968,-2304.53069968
148,-23.2055774917,-2320.55774917
149,-23.2540007299,-2325.40007299
150,-23.2143287843,-2321.43287843
151,-23.3473779758,-2334.73779758
152,-23.3848720704,-2338.48720704
153,-23.5376823745,-2353.76823745
154,-23.5246891812,-2352.46891812
155,-23.6073778003,-2360.73778003
156,-23.5184058717,-2351.84058717
157,-23.5530706871,-2355.30706871
158,-23.4154527966,-2341.54527966
